band,original_band,other_bands,event_type,event_date,event_day,event_month,event_year,iso_country,iso_subdivision,lat_dd,lon_dd,coordinates_precision_code,band_type_code,species_name,species_id,bird_status,extra_info_code,age_code,sex_code,permit,band_status_code,how_obtained_code,who_obtained_code,reporting_method,present_condition,min_age_at_enc,record_source,species_scientific_name
B08738202777,B08738202777,,B,8/12/2016,12,8,2016,US,US-MN,47.5,-95.5,60,41,Ring-necked Duck,1500,3,70,4,5,P9979297,0,,,,,,B,Aythya collaris
B08738202777,B08738202777,,E,12/6/2016,6,12,2016,US,US-WI,43.35053,-91.16162,11,41,Ring-necked Duck,1500,,,,,,,1,21,7,5,0.5,E,Aythya collaris
B08868030368,B08868030368,,B,8/20/2014,20,8,2014,US,US-MN,48.5,-95.5,60,41,Ring-necked Duck,1500,3,70,4,4,P9979297,0,,,,,,B,Aythya collaris
B08868030368,B08868030368,,E,10/4/2014,4,10,2014,US,US-WI,45.66802,-91.24405,11,41,RING-NECKED DUCK,1500,,,,,,,1,21,61,5,0.33,E,Aythya collaris
B18868651181,B18868651181,,B,8/4/2014,4,8,2014,US,US-MN,47.5,-96.5,60,41,Ring-necked Duck,1500,3,0,4,4,P9979297,0,,,,,,B,Aythya collaris
B18868651181,B18868651181,,E,10/19/2014,19,10,2014,US,US-WI,44.34185,-88.96225,11,41,BLUE BILL,1500,,,,,,,1,21,61,4,0.33,E,Aythya collaris
B38718730850,B38718730850,,B,8/3/2018,3,8,2018,US,US-MN,47.5,-95.5,60,41,Ring-necked Duck,1500,3,0,4,5,P6716786,0,,,,,,B,Aythya collaris
B38718730850,B38718730850,,E,10/27/2019,27,10,2019,US,US-WI,44.41163,-92.04906,11,41,Ring-necked Duck,1500,,,,,,,1,21,7,5,1.33,E,Aythya collaris
B38778782398,B38778782398,,B,8/9/2018,9,8,2018,US,US-MN,48.5,-95.5,60,W1,Ring-necked Duck,1500,3,70,4,4,P9979297,0,,,,,,B,Aythya collaris
B38778782398,B38778782398,,E,10/27/2018,27,10,2018,US,US-WI,44.03042,-91.42008,11,W1,RING-NECKED DUCK,1500,,,,,,,1,21,7,4,0.33,E,Aythya collaris
B38838164986,B38838164986,,B,4/7/2017,7,4,2017,CA,CA-ON,42.5,-80.5,60,53,Ring-necked Duck,1500,3,0,5,4,P5835919,0,,,,,,B,Aythya collaris
B38838164986,B38838164986,,E,9/28/2019,28,9,2019,US,US-WI,45.68781,-89.3391,11,53,Ring-necked Duck,1500,,,,,,,1,21,7,4,3.25,E,Aythya collaris
B58778350377,B58778350377,,B,8/14/2019,14,8,2019,US,US-WI,45.5,-92.5,60,W1,Ring-necked Duck,1500,3,0,4,5,P9972302,0,,,,,,B,Aythya collaris
B58778350377,B58778350377,,E,9/28/2019,28,9,2019,US,US-WI,45.62726,-92.5556,11,W1,Ring-necked Duck,1500,,,,,,,1,21,7,5,0.25,E,Aythya collaris
B68868030666,B68868030666,,B,8/21/2014,21,8,2014,US,US-MN,48.5,-96.5,60,41,Ring-necked Duck,1500,3,70,4,4,P9979297,0,,,,,,B,Aythya collaris
B68868030666,B68868030666,,E,10/11/2014,11,10,2014,US,US-WI,43.88066,-89.53024,0,41,Ring neck,1500,,,,,,,1,21,7,5,0.33,E,Aythya collaris
B68868657405,B68868657405,,B,8/5/2014,5,8,2014,US,US-MN,47.5,-96.5,60,41,Ring-necked Duck,1500,3,70,4,4,P9979297,0,,,,,,B,Aythya collaris
B68868657405,B68868657405,,E,10/21/2014,21,10,2014,US,US-WI,44.05192,-88.99262,11,41,unknown,1500,,,,,,,1,21,61,5,0.33,E,Aythya collaris
B78778350340,B78778350340,,B,8/14/2019,14,8,2019,US,US-WI,45.5,-92.5,60,W1,Ring-necked Duck,1500,3,0,4,4,P9972302,0,,,,,,B,Aythya collaris
B78778350340,B78778350340,,E,10/3/2019,3,10,2019,US,US-WI,45.84912,-92.61492,11,W1,Ringbill/Ringneck,1500,,,,,,,1,21,7,5,0.33,E,Aythya collaris
B78778350428,B78778350428,,B,8/5/2019,5,8,2019,US,US-WI,44.5,-90.5,60,W1,Ring-necked Duck,1500,3,0,4,5,P9972302,0,,,,,,B,Aythya collaris
B78778350428,B78778350428,,E,10/19/2019,19,10,2019,US,US-WI,44.31246,-90.00515,11,W1,Ring-necked Duck,1500,,,,,,,1,21,7,5,0.33,E,Aythya collaris
B78778722522,B78778722522,,B,8/9/2019,9,8,2019,US,US-MN,47.5,-94.5,60,W1,Ring-necked Duck,1500,3,70,4,4,P9979297,0,,,,,,B,Aythya collaris
B78778722522,B78778722522,,E,10/14/2019,14,10,2019,US,US-WI,44.60163,-92.57879,11,W1,ringneck,1500,,,,,,,1,21,7,5,0.33,E,Aythya collaris
B79078771068,B79078771068,,B,12/7/2013,7,12,2013,US,US-SC,33.5,-81.5,60,11,Ring-necked Duck,1500,3,51,1,4,P1713503,0,,,,,,B,Aythya collaris
B79078771068,B79078771068,,E,10/10/2014,10,10,2014,US,US-WI,42.94914,-89.20526,0,11,Ring Neck,1500,,,,,,,1,21,7,5,2.33,E,Aythya collaris
B88808857838,B88808857838,,B,7/31/2012,31,7,2012,US,US-MN,48.5,-96.5,60,41,Ring-necked Duck,1500,3,70,1,4,P9979297,0,,,,,,B,Aythya collaris
B88808857838,B88808857838,,E,10/21/2013,21,10,2013,US,US-WI,43.91358,-91.07486,11,41,Ring-necked Duck,1500,,,,,,,1,21,7,5,2.33,E,Aythya collaris
B88868689176,B88868689176,,B,8/14/2013,14,8,2013,US,US-MN,47.5,-96.5,60,41,Ring-necked Duck,1500,3,70,4,5,P9979297,0,,,,,,B,Aythya collaris
B88868689176,B88868689176,,E,11/3/2013,3,11,2013,US,US-WI,43.33604,-91.10207,11,41,RING NECK,1500,,,,,,,1,21,61,5,0.42,E,Aythya collaris
B98738991738,B98738991738,,B,8/24/2015,24,8,2015,US,US-MN,47.5,-95.5,60,41,Ring-necked Duck,1500,3,70,4,4,P9979297,0,,,,,,B,Aythya collaris
B98738991738,B98738991738,,E,10/28/2016,28,10,2016,US,US-WI,44.41,-91.99393,11,41,RING NECKED DUCK,1500,,,,,,,1,21,61,5,1.33,E,Aythya collaris
B98738991919,B98738991919,,B,8/20/2015,20,8,2015,US,US-MN,47.5,-95.5,60,41,Ring-necked Duck,1500,3,70,4,4,P9979297,0,,,,,,B,Aythya collaris
B98738991919,B98738991919,,E,11/3/2018,3,11,2018,US,US-WI,42.92889,-88.89619,11,41,Ring-necked Duck,1500,,,,,,,1,21,7,4,3.42,E,Aythya collaris
B98908222732,B98908222732,,B,3/1/2013,1,3,2013,US,US-SC,33.5,-79.5,60,1,Ring-necked Duck,1500,3,0,1,5,P8988098,0,,,,,,B,Aythya collaris
B98908222732,B98908222732,,E,11/2/2019,2,11,2019,US,US-WI,42.85252,-88.13064,11,1,Duck,1500,,,,,,,1,21,7,5,7.42,E,Aythya collaris
B98968803378,B98968803378,,B,12/15/2014,15,12,2014,US,US-MS,34.5,-90.5,60,1,Ring-necked Duck,1500,3,0,2,4,P9988538,0,,,,,,B,Aythya collaris
B98968803378,B98968803378,,E,10/15/2016,15,10,2016,US,US-WI,45.99909,-89.36165,11,1,RING-NECKED DUCK,1500,,,,,,,1,21,61,4,2.33,E,Aythya collaris
